EventName,StartDate,EndDate,Time,Venue,Address,City,State,Zip,Category,EventType,PrizeMoney,Description,Website,Phone,Email,SourceImage,DateExtracted,TeamRopingAI
RVR Trail Ride 2026,9/16/26,9/20/26,,Coconino National Forest,,,AZ,,Trail Ride,Social Event,,"Save the date for the Rio Verde Roverettes All Woman's Trail Ride 2026! This year's theme celebrates America's Birthday - 250 Years. The multi-day trail ride takes place in the beautiful Coconino National Forest, offering scenic riding through Arizona's high country. This popular annual event brings together women riders for camaraderie, adventure, and appreciation of the outdoors on horseback. Invitations and detailed information will be emailed out June 1. Perfect for experienced trail riders looking for a memorable group riding experience in one of Arizona's most scenic forests.",rioverderoverettes.com,,rexwager@aol.com,616837201_26238980362352796_2752012080774694289_n.jpg,1/25/26,NO
Scottsdale Saddle Club Gymkhana - September 19,9/19/26,9/19/26,,Scottsdale Rodeo Grounds,,Scottsdale,AZ,,Gymkhana,Series,,"Scottsdale Saddle Club gymkhana at the Rodeo Grounds featuring professional grade ground and facilities with divisions for every level of rider. Part of the 2026 season series running monthly through December. Visit scottsdalesaddleclub.com for full details, classes, and entry information.",www.scottsdalesaddleclub.com,,,634950103_1372842801313322_1568601591476657115_n.jpg,3/6/26,NO
PCCHA Holy Cow Performance Horses and Super Futurity,9/21/26,9/26/26,,South Point Arena & Equestrian Center,9777 Las Vegas Blvd South,Las Vegas,NV,89183.0,Cutting,Futurity,,PCCHA Holy Cow Performance Horses and Super Futurity at South Point Arena in Las Vegas. Six days of Pacific Coast Cutting Horse Association futurity competition featuring young horses and top trainers competing for major prizes. Free to the public. Visit pccha.com for full schedule.,https://pccha.com/,702-797-8005,,,3/25/26,NO
Scottsdale Saddle Club Gymkhana - October 3,10/3/26,10/3/26,,Scottsdale Rodeo Grounds,,Scottsdale,AZ,,Gymkhana,Series,,"Scottsdale Saddle Club gymkhana at the Rodeo Grounds featuring professional grade ground and facilities with divisions for every level of rider. Part of the 2026 season series running monthly through December. Visit scottsdalesaddleclub.com for full details, classes, and entry information.",www.scottsdalesaddleclub.com,,,634950103_1372842801313322_1568601591476657115_n.jpg,3/6/26,NO
Arizona Cutting Horse Association - Oktoberfest,10/13/26,10/18/26,8:00 AM,Horseshoe Park & Equestrian Centre,20464 E Riggs Road,Queen Creek,AZ,85142.0,Cutting,NCHA Sanctioned Show,,"Arizona Cutting Horse Association Oktoberfest at Horseshoe Park — six days of fall NCHA-sanctioned cutting horse competition. Open, Non-Pro, Amateur, Limited and Youth divisions. One of AZCHA's premier fall events kicking off the new season. Contact Kathy Unfried 928-277-6103 or arizonacuttinghorse@gmail.com.",https://azcha.com,480-358-3793,,,3/25/26,NO
Pacific Ridge Show Jumping - Fall 2 (Finals),10/16/26,10/18/26,8:00 AM,Los Angeles Equestrian Center,480 W Riverside Dr,Burbank,CA,91506.0,Hunter/Jumper,National Horse Show,,Pacific Ridge Show Jumping Fall 2 (Finals) at LAEC — part of the 10-event 2026 series spanning April through October at the Los Angeles Equestrian Center in Burbank. National-level hunter/jumper competition with new footing upgrades. Free for spectators. Entries at prsj.showgroundslive.com.,https://pacificridgeshowjumping.com,818-840-9063,,,3/25/26,NO
K/A Productions - SCHSA Hunter Derby Finals,10/16/26,10/18/26,8:00 AM,Los Angeles Equestrian Center,480 W Riverside Dr,Burbank,CA,91506.0,Hunter/Jumper,National Horse Show,,"K/A Productions SCHSA Hunter Derby Finals at LAEC — featuring the $15,000 SCHSA Hunter Derby Finals, jumper classics and costume classes. Three days of competition with year-end division champions. Free for spectators. Visit ka-productions.com.",https://www.ka-productions.com,818-840-9063,,,3/25/26,NO
APHA Western National Championship,10/22/26,10/25/26,,South Point Arena & Equestrian Center,9777 Las Vegas Blvd South,Las Vegas,NV,89183.0,Paint Horse Show,National Championship,,"APHA Western National Championship at South Point Arena in Las Vegas. Four days of American Paint Horse Association national-level competition for western performance, halter and pleasure horses. Free to the public. Visit apha.com for class schedule, entry info and hotel group rates.",http://apha.com/western-national-show/,702-797-8005,,,3/25/26,NO
Pacific Ridge Show Jumping - Fall 3,10/23/26,10/25/26,8:00 AM,Los Angeles Equestrian Center,480 W Riverside Dr,Burbank,CA,91506.0,Hunter/Jumper,Regional Horse Show,,Pacific Ridge Show Jumping Fall 3 at LAEC — part of the 10-event 2026 series spanning April through October at the Los Angeles Equestrian Center in Burbank. Regional-level hunter/jumper competition with new footing upgrades. Free for spectators. Entries at prsj.showgroundslive.com.,https://pacificridgeshowjumping.com,818-840-9063,,,3/25/26,NO
The Desert Crown Youth Rodeo,10/30/26,11/1/26,,Buckeye Equestrian & Events Center,10300 S Miller Rd,Buckeye,AZ,85326.0,Rodeo,Rodeo,,The Desert Crown Youth Rodeo at Buckeye Equestrian and Events Center. Presented by Paloma Ready Mix and Materials. Arizona High School Rodeo Association sanctioned event featuring youth rodeo competition over three days. A premier youth rodeo in the Phoenix metro area.,buckeyearena.com,,,646860369_1564401359021032_4674146119608604638_n.jpg,3/6/26,YES
American Bucking Bull Inc World Finals,10/31/26,11/5/26,,South Point Arena & Equestrian Center,9777 Las Vegas Blvd South,Las Vegas,NV,89183.0,Bull Riding,World Finals,,American Bucking Bull Inc (ABBI) World Finals at South Point Arena in Las Vegas. Six days of championship bull riding and bucking bull competition with the world's top bulls and riders. Free to the public. Visit americanbuckingbull.com for full schedule and competition details.,http://www.americanbuckingbull.com/,702-797-8005,,,3/25/26,NO
Turquoise Circuit Finals Rodeo,11/5/26,11/7/26,,Cave Creek Memorial Arena Rodeo Grounds,37201 N 28th St,Cave Creek,AZ,85331.0,Rodeo,PRCA Circuit Finals,,Turquoise Circuit Finals Rodeo in Cave Creek — the championship event for the PRCA Turquoise Circuit covering Arizona and New Mexico. Top two qualifiers from each event advance to the RAM National Circuit Finals. Three nights of elite rodeo with VIP Turquoise Trail Lounge and High Desert Sky Box options. Tickets at turquoisecircuitfinalsrodeo.com.,https://www.turquoisecircuitfinalsrodeo.com,,,,3/25/26,NO
ADA Fall Fiesta (Double Show) & Arizona State Dressage Championships,11/7/26,11/8/26,,WestWorld of Scottsdale,16601 N Pima Rd,Scottsdale,AZ,85260.0,Dressage,Rated Show,,"ADA's Fall Fiesta is a two-day USDF/USEF recognized double show that also hosts the Arizona State Dressage Championships at WestWorld of Scottsdale. Riders compete for qualifying scores, year-end recognition, and state championship titles across multiple levels and divisions, including Para and Western Dressage. A marquee fall destination show for Arizona dressage.",https://azdressage.org/event/fall-fiesta-recognized-show-arizona-state-dressage-championship/2026-11-07/,,,,1/26/26,NO
Marshall Sterling USHJA National Championships,11/9/26,11/15/26,,South Point Arena & Equestrian Center,9777 Las Vegas Blvd South,Las Vegas,NV,89183.0,Hunter/Jumper,National Championship,,"Marshall+Sterling/USHJA National Championships at South Point Arena in Las Vegas. Seven days of US Hunter Jumper Association national championship competition for hunters, jumpers and equitation riders of all levels. Free to the public. Visit ushja.org for class schedule and qualifying requirements.",https://www.ushja.org/competition/national-championship,702-797-8005,,,3/25/26,NO
CINCH All Star Super Sort,11/20/26,11/22/26,,South Point Arena & Equestrian Center,9777 Las Vegas Blvd South,Las Vegas,NV,89183.0,Ranch Sorting,Championship,,"CINCH All Star Super Sort at South Point's Priefert Pavilion in Las Vegas. Three days of premier ranch sorting competition sponsored by CINCH. Open to competitors of all skill levels. Free to the public. Visit rsnc.us for entry information, divisions and full schedule.",https://rsnc.us/,702-797-8005,,,3/25/26,NO
Scottsdale Saddle Club Gymkhana - November 22,11/22/26,11/22/26,,Scottsdale Rodeo Grounds,,Scottsdale,AZ,,Gymkhana,Series,,"Scottsdale Saddle Club gymkhana at the Rodeo Grounds featuring professional grade ground and facilities with divisions for every level of rider. Part of the 2026 season series running monthly through December. Visit scottsdalesaddleclub.com for full details, classes, and entry information.",www.scottsdalesaddleclub.com,,,634950103_1372842801313322_1568601591476657115_n.jpg,3/6/26,NO
The Cup Series - Turkey Cup,11/26/26,11/26/26,,Dillon's Western Trails Arena,,Morristown,AZ,,Barrel Racing,Championship,"$6,400+ to 1st","The Cup Series presents The Turkey Cup barrel race at Dillon's Western Trails Arena. In conjunction with Dillon's Thanksgiving Day Race. Entries open Nov 1. $600 entry fee, limited to 200 entries. Projected payout with 80% back and 200 entries: 1st $6,400 & Trophy Cup, 2nd $5,760, 3rd $4,800, 4th $4,000, 5th $3,200, 6th $2,560, 7th $1,920, 8th $1,280, 9th $1,120, 10th $960. Times can be carried over from each run throughout the race. Trophy cups to each D winner. 3D equal payouts on 0.6 splits.",ssrproductions.org,435-681-0058,,623366934_122183836310660250_2648107888808350311_n.jpg,2/1/26,NO
Scottsdale Saddle Club Gymkhana - December 5,12/5/26,12/5/26,,Scottsdale Rodeo Grounds,,Scottsdale,AZ,,Gymkhana,Series,,"Scottsdale Saddle Club gymkhana at the Rodeo Grounds featuring professional grade ground and facilities with divisions for every level of rider. Part of the 2026 season series running monthly through December. Visit scottsdalesaddleclub.com for full details, classes, and entry information.",www.scottsdalesaddleclub.com,,,634950103_1372842801313322_1568601591476657115_n.jpg,3/6/26,NO
Dressage at Spear-Cross (Recognized Level 2 Show),12/12/26,12/13/26,9:00 AM,Spear-Cross Equine Center of Scottsdale,28475 N. 84th Street,Scottsdale,AZ,85266.0,Dressage,Rated Show,,Year-end Dressage at Spear-Cross recognized Level 2 show in Scottsdale. Two days of competition with licensed judging and a professional show setup at Spear-Cross Equine Center. A strong December option for riders targeting late-season qualifying scores and championship preparation. Check the event page for specifics and updates.,https://azdressage.org/event/dressage-at-spear-cross-2/,(480) 650-9661,,,1/26/26,NO
Silver Dollar Circuit,1/12/27,1/16/27,,TBD,,Las Vegas,NV,,Quarter Horse Show,Circuit Show,,"Silver Dollar Circuit returns to fabulous Las Vegas January 12–16, 2027 with new dates. A premier destination horse show event drawing competitors from across the southwest. Plan ahead for this multi-day circuit show in Las Vegas, Nevada.",,,,651686744_1377698231053258_4361322221383422508_n.jpg,3/24/26,NO
Zabawa Production Weekly Ropings - Friday #8.5,Fridays,,9:00 AM,Zabawa Arena,48069 W Papago Rd,Maricopa,AZ,,Team Roping,Weekly Jackpot,,"#8.5 roping capped at 4+. $150 entry, 3-steer progressive, 80% payback. Cash only.",,484-226-5961,,615515000_1565460128385179_3288440395961003483_n.jpg,1/25/26,YES
5 Flat Productions Monday Ropings,Mondays,,9:00 AM,Flying E Ranch,2801 W Wickenburg Way,Wickenburg,AZ,85390.0,Team Roping,Weekly Jackpot,80% Payout,"30+ and Ladies. #12.5, #11.5, #10.5 divisions. $125/roper, 4-steer PA1, enter 3x. Fresh cattle. Cash only.",,970-846-7825,,617960131_1704995653843884_2689894101989205811_n.jpg,1/25/26,YES
Zabawa Production Weekly Ropings - Monday #9.5,Mondays,,,Zabawa Arena,48069 W Papago Rd,Maricopa,AZ,,Team Roping,Weekly Jackpot,,"#9.5 roping for 40+ or any age ladies, capped at 5+. $150 entry, 3-steer progressive, 80% payback. Cash only.",,484-226-5961,,615515000_1565460128385179_3288440395961003483_n.jpg,1/25/26,YES
Team Roping Lessons with Cesar de la Cruz,Ongoing,,9:00 AM,,,Casa Grande,AZ,,Team Roping,Clinic,,"Train with 9-time NFR heeler Cesar de la Cruz in Casa Grande, Arizona. With over $1.3 million in lifetime earnings and three PRCA Tour Finale titles, Cesar brings elite-level experience to every lesson. Private and semi-private sessions are available for ropers of all skill levels looking to improve their technique, timing, and competitive edge. Whether you're working on your swing, positioning, or horse handling, Cesar provides personalized coaching tailored to your goals. His philosophy focuses on giving students all the tools for success in the arena. Contact via social media using #RopeWithCesar to schedule your session and take your heeling to the next level.",,,,574396100_1360897145404590_337187081454450241_n.jpg,1/25/26,YES
4D Arena Saturday Breakaway,Saturday,Saturday,"Books Close at 10:30 AM, Rope at 11:00 AM",4D Arena,23465 W Patton Rd,Wittmann,AZ,85361.0,Breakaway,Jackpot,,Open Breakaway every Saturday. 3 Head Progressive. Bell Collar Catch Only. Starts with the Open. March 14th will be $200/run in the Open. Cash Only. All ropings are 2/3rd payback unless specified. Ropings nominated for WCRA. Sponsored by Roping Finder & Akins Trailer Sales.,,(719) 539-5507,,645757754_950014267692249_3872782235165094531_n.jpg,3/6/26,YES
4D Arena Saturday Breakaway,Saturdays,,12:00 PM,4D Arena,23465 W Patton Rd,Wittmann,AZ,85361.0,Breakaway Roping,Weekly Series,Cash Prizes,"4D Arena Breakaway every Saturday! Books close at 10:30am, rope at 11:00am. Starts with the open. OPEN BREAKAWAY: $120 entry, Enter 4x max, 3 head progressive, bell collar catch only. NOVICE BREAKAWAY: $120 entry, Enter 4x max, straight 2 head average. Novice eligibility - must meet ONE: Woman over 50, kid under 12, or roper/horse with less than $1500 lifetime earnings. Cash only! All ropings are 2/3rd payback unless specified. Ropings are nominated for WCRA. Sponsored by Roping Finder and Akins Trailer Sales. Follow Hot Shot Equine and 4D Arena on Facebook for updates.",,(719) 539-5507,,620032530_918872384139771_7101876432825736538_n.jpg,1/27/26,YES
High Call Productions Saturday Ropings,Saturdays,,11:00 AM,Flying E Ranch,2801 Wickenburg Way,Wickenburg,AZ,,Team Roping,Weekly Series,,"High Call Productions offers weekend team roping at Flying E Ranch. Books open 9am, close 10am, rope at 10:15am. SATURDAYS (Over 40 & All Ladies): #12.5 Handicap - 4-steer $100/man, enter 3x, 80% payback. #8.5 Handicap (50+ & Ladies) - 3-steer $120/man, enter 3x or draw up to 6. #9.5 Handicap (50+ & Ladies) - 4-steer $150/man, enter 2x or draw up to 4, 70% payback. SUNDAYS (All Ages): #7.5 Handicap - 3-steer $120/man, knives to average winners. #9.5 Handicap - 3-steer $120/man. #11.5 Handicap - 4-steer $150/man, 70% payback. Cash only. USTRC/WSTR card required.",,214-585-2632,,622266550_1277474227771655_3884098997596505531_n.jpg,1/25/26,YES
4D Arena Sunday Funday,Sundays,,9:00 AM,4D Arena,23465 W Patton Rd,Wittmann,AZ,85361.0,Team Roping,Weekly Series,Trophy Buckles,"Weekly Sunday ropings. #7.5 over 40/ladies $100/man, #8.5 $120/man, #9.5 Handicap $120/man. Trophy buckles.",,(719) 539-5507,,616772801_916377151055961_6604103686076692976_n.jpg,1/25/26,YES
High Call Productions Sunday Ropings,Sundays,,10:00 AM,Flying E Ranch,2801 Wickenburg Way,Wickenburg,AZ,,Team Roping,Weekly Series,Knives,"High Call Productions offers weekend team roping at Flying E Ranch. Books open 9am, close 10am, rope at 10:15am. SATURDAYS (Over 40 & All Ladies): #12.5 Handicap - 4-steer $100/man, enter 3x, 80% payback. #8.5 Handicap (50+ & Ladies) - 3-steer $120/man, enter 3x or draw up to 6. #9.5 Handicap (50+ & Ladies) - 4-steer $150/man, enter 2x or draw up to 4, 70% payback. SUNDAYS (All Ages): #7.5 Handicap - 3-steer $120/man, knives to average winners. #9.5 Handicap - 3-steer $120/man. #11.5 Handicap - 4-steer $150/man, 70% payback. Cash only. USTRC/WSTR card required.",,214-585-2632,,622266550_1277474227771655_3884098997596505531_n.jpg,1/25/26,YES
Western Trails Arena Heel-O-Matic Practice,Tuesdays,,5:00 PM,Western Trails Arena,37839 W Grand Ave,Morristown,AZ,85342.0,Team Roping,Practice,,"Western Trails ""The Bar"" offers weekly Heel-O-Matic practice sessions every Tuesday in Morristown. The morning begins with Heel-O-Matic Dummy Practice from 10:00-11:00 AM ($20/horse), followed by Live Cattle Practice from 11:00 AM-1:00 PM ($40/horse, $25 additional horses). This is an ideal opportunity for ropers to work on their timing and technique in a low-pressure environment with quality cattle. Whether you're tuning up your heel horse or developing your skills, Western Trails provides a professional practice setting with experienced management.",,(208) 899-2621,,615480124_25543813098636346_4702449521010503637_n.jpg,1/25/26,YES
Zabawa Production Weekly Ropings - Tuesday #12.5,Tuesdays,,4:15 PM,Zabawa Arena,48069 W Papago Rd,Maricopa,AZ,,Team Roping,Weekly Jackpot,,"#12.5 Slide Tuesday Night. $200 entry, 4-steer progressive handicapped, 80% payback. Cash only.",,484-226-5961,,615515000_1565460128385179_3288440395961003483_n.jpg,1/25/26,YES
Tom Wicklund Drills & Maneuvers - Weekly Classes,Tuesdays/Wednesdays/Thursdays,,5:30 PM,Performance Horse Arena,Corner of 24th and Maddock,Cave Creek,AZ,,Clinic,Weekly Classes,$30 ,"Weekly group horsemanship classes with Tom Wicklund at Performance Horse Arena. Tuesdays and Wednesdays at 5:30 PM, Thursdays at 10 AM. Focus on balance, hind quarters, forehand, and flexing. All disciplines and breeds welcome. New topics each week. $30 per session, space limited, pre-register.",www.performancehorsearena.com,,,Screenshot_2026-03-06_at_8_00_58_AM.png,3/6/26,NO
4D Arena Workin Man Wednesdays,Wednesdays,,9:30 AM,4D Arena,23465 W Patton Rd,Wittmann,AZ,85361.0,Team Roping,Weekly Series,,"Weekly afternoon/evening ropings. #11.5 Handicap $150/man, #12.5 Slide $150/man. 4-head progressive.",,(719) 539-5507,,616772801_916377151055961_6604103686076692976_n.jpg,1/25/26,YES
4D Arena Wrangler Wednesdays,Wednesdays,,,4D Arena,23465 W Patton Rd,Wittmann,AZ,85361.0,Team Roping,Weekly Series,Trophy Buckles,"Weekly morning ropings. #6.5 $50/man, #7.5 $60/man, #8.5 $60/man. All 2-steer with trophy buckles. Wrangler certificates to high money.",,(719) 539-5507,,616772801_916377151055961_6604103686076692976_n.jpg,1/25/26,YES
Twisted N Productions Wednesday Round Robin,Wednesdays,,6:00 PM,Bottoms Up Horse Arena & RV Park,4300 E Laughlin Rd,Casa Grande,AZ,,Team Roping,Round Robin,2/3 Payout,"Twisted N Productions weekly Wednesday round robin at Bottoms Up Horse Arena in Casa Grande. $200/man, 15 headers and 15 heelers. Starts at 6 PM. Call to enter. A great mid-week roping opportunity in the Casa Grande area. Call/text 602-541-8880 for entries.",,602-541-8880,,Screenshot_2026-03-06_at_10_29_57_AM.png,3/6/26,YES
Sorta Sorting Practice & Ranch Horse Activities,Wednesdays/Saturdays,,9:00 AM,Flying E Ranch - New Arena,28012 W Wickenburg Way,Wickenburg,AZ,,Cattle Sorting,Weekly Practice,,Weekly sorta sorting practice plus obstacle course and trail course at Flying E Ranch's new arena in Wickenburg. Wednesdays and Saturdays starting at 9 AM. Presented by Wickenburg's Ultimate Ranch & Stock Horse Challenge. Open to all levels looking to sharpen their skills.,,,,Screenshot_2026-03-06_at_8_01_30_AM.png,3/6/26,NO
Thirsty Thursday Open Mic and Bull Riding Practice,Thursdays,,6:00 PM,Roadrunner Restaurant and Saloon,47801 N Black Canyon Hwy,,AZ,,Bull Riding,Weekly Practice,,Weekly Thirsty Thursday night at Roadrunner Restaurant and Saloon on Black Canyon Hwy. Open Mic 6–9 PM with live music talent. Live Bull Riding Practice starts at 7 PM. A unique Arizona combo of country music and roughstock action every Thursday night.,,,,653831356_1243621914630760_6851672901081953298_n.jpg,3/24/26,NO
Chandler Vaqueros Saddle Club Rodeo,Saturdays Sept-May,,,Horseshoe Park & Equestrian Centre,20464 E Riggs Road,Queen Creek,AZ,85142.0,Gymkhana,Club Rodeo,,"Chandler Vaqueros Saddle Club monthly rodeos at Horseshoe Park — season runs September through May. Events include Goat Pulling, Goat Tying, Barrel Racing, Pole Bending and Speed events. Age groups 3–8, 9–12, 13–18, 19–39 and 40+. Free for spectators. All levels welcome, volunteer-run nonprofit club.",,480-358-3793,,,3/25/26,NO
QC 4H Horse Project,Monthly,,6:00 PM,Horseshoe Park & Equestrian Centre,20464 E Riggs Road,Queen Creek,AZ,85142.0,Youth Program,4H Meeting,,"QC 4H Horse Project monthly meetings at Horseshoe Park in Queen Creek. Youth horse program focused on horsemanship, animal husbandry and community leadership. Open to youth ages 5–18 interested in horses and equestrian activities. Contact Horseshoe Park at 480-358-3793 for meeting schedule.",https://www.queencreekaz.gov/government/horseshoe-park-equestrian-centre,480-358-3793,,,3/25/26,NO
Heart Cry Cowboy Church,Monthly,,6:00 PM,Horseshoe Park & Equestrian Centre,20464 E Riggs Road,Queen Creek,AZ,85142.0,Community Event,Cowboy Church,,"Heart Cry Cowboy Church monthly gathering at Horseshoe Park in Queen Creek. A community worship experience in the western tradition welcoming horses, families and all who appreciate the cowboy way of life. Free to attend. Check Horseshoe Park event calendar for specific dates.",https://www.queencreekaz.gov/government/horseshoe-park-equestrian-centre,480-358-3793,,,3/25/26,NO
7.5 Big Money 2026,05/16/2026,05/16/2026,"Books Close 9:00 AM","Linden Valley Arena","1120 Pearce Rd","Show Low",AZ,,"Team Roping","Jackpot","$10,000 Guaranteed + 26 Trophy Buckles","#8.5 40+ Roping: P1D1 or D2 $120/roper Enter 2X 4.5 Cap 3-Steer 40+ or Women any age Buckles 1st-3rd. #6.5 Buckle Mania: P1D1 $120/roper Enter 2X 3.5 Cap H-Cap 2-Steer Buckles 1st-3rd. #7.5 Big Money: P1D1 or D2 $120/roper Enter 4X 4.5 Cap 3-Steer $10000 cash guaranteed to High Point Roper 14 Trophy Buckles 1st-7th. Books close 10:30 AM for #7.5. Credit card 5% fee. Global Numbers. Flag-on heels.",ropingco.com,480-540-8405,,657265577_1500708361853009_4069591885898329525_n.jpg,2026-03-30,YES
The Beast 2026 Truck Roping,06/12/2026,06/13/2026,"Fri Books Close 9:00 AM / Sat Books Close 8:45 AM","Linden Valley Arena","1120 Pearce Rd","Show Low",AZ,,"Team Roping","Jackpot","New RAM 3500 to High Point + Saddles + Buckles","Friday June 12: #11.5 Big $3000 P1D1 or D2 $150/roper Enter 2X 7 Cap 4-Steer $3000 guaranteed to 1st. #9.5 Saddle P1D1 or D2 $120/roper Enter 2X 5.5 Cap 3-Steer Saddles to 1st. #7.5 2-Steer Buckle P1D2 $120/roper Enter 2X 4.5 Cap Buckles 1st-4th. Saturday June 13: #10.5 Muley Roping Pick $100/roper Enter 2X 7 Cap 3-Steer Muleys roped. #11.5 Beast Truck Roping P1D1 or D2 $200/roper Enter 4X 7 Cap 4-Steer Handicapped New RAM 3500 to High Point. Cash or credit card 5% fee no checks. Stalls at lindenvalleyarena.com.",ropingco.com,480-540-8405,,657549848_1500711075186071_3577391412755600103_n.jpg,2026-03-30,YES
Cactus Ropes Season Opener,05/09/2026,05/09/2026,"Books Close 9:00 AM","Linden Valley Arena","1120 Pearce Rd","Show Low",AZ,,"Team Roping","Jackpot","$2,000 Guaranteed + Saddles + Cactus Ropes","#12.5 Slide 4.5 Sec +/- Max 4-Steer H'capped No Cap P1D1 or D2 Enter 2X $120/roper 70% Payback Cactus Ropes to 1st. #11.5 $2K Guaranteed 3-Steer H'capped #6.5 Cap P1D1 or D2 Enter 3X $120/roper $2000 guaranteed to 1st Cactus Ropes to 1st. #10.5 Legends 40+ 3-Steer H'capped #6.5 Cap P1D1 or D2 Enter 2X $120/roper Women any age. #9.5 Saddle Roping 3-Steer H'capped #5.5 Cap P1D1 or D2 Enter 3X $120/roper Saddles+Cash to 1st Cactus Ropes+Cash 2nd-5th. Credit card 5% fee. WSTR or USTR numbers.",ropingco.com,480-540-8405,,661407175_1500707481853097_4229648414776034303_n.jpg,2026-03-30,YES
Cinco de Mayo Trailer De Mayo,05/02/2026,05/02/2026,"Books Close 9:00 AM","Navajo County Fair Grounds",,"Holbrook",AZ,,"Team Roping","Jackpot","3 Horse Slant Trailer to High Point","Presented by The Roping Co. #11.5 Beast De Mayo: P1D1 or D2 $120/man Enter 2X No-Cap 3-Steer 3 Horse Slant Trailer to High Point 1st & 2nd receive $1000/TM voucher toward The Beast RAM Truck Roping in June. #9.5 Trailer De Mayo: P1D1 or D2 $120/man Enter 4X 5.5 Cap 3-Steer 3 Horse Slant Trailer to High Point. Cash or credit card 5% fee no checks. Global numbers. Trailer recipients responsible for TT&L.",ropingco.com,480-540-8405,,657387137_1500706621853183_6940348241190742729_n.jpg,2026-03-30,YES
WSTR 2026 Qualifier - Show Low,05/22/2026,05/25/2026,"Books Open 8:00 AM Rope 9:00 AM daily","Linden Valley Arena","1120 Pearce Rd","Show Low",AZ,,"Team Roping","Championship","$20,000 Guaranteed + Saddles","4-day WSTR Qualifier May 22-25. Fri: Open WSTR #15.5 #14.5 #13.5 #12.5 WSTR + #11.5 Saddle Roping. Sat: #11.5 #10.5 #9.5 WSTR + #8.5 Saddle Roping. Sun: #8.5 #7.5 #6.5 WSTR Saddle Ropings. Mon: #9.5 $20000 Guaranteed to High Point Roper P1D1 or D2 $150/roper Enter 4X 4-Steer Handicapped capped #5.5 both ends. Must be 21+ for WS qualifiers except Open #15.5 #14.5 #13.5. $40 non-refundable draw-in fee. WSTR membership & Key Cards required. Cash or credit cards no checks. RV & stalls at lindenvalleyarena.com.",wstroping.com,480-540-8405,,657553147_1500713095185869_522162473391309330_n.jpg,2026-03-30,YES
The Beast 2026 Truck Roping - Friday,06/12/2026,06/12/2026,Books Close 9:00 AM,Linden Valley Arena,1120 Pearce Rd,Show Low,AZ,,Team Roping,Jackpot,"$3,000 Guaranteed + Saddles + Buckles",#11.5 Big $3000: P1D1 or D2 $150/roper Enter 2X 7 Cap 4-Steer $3000 guaranteed to 1st. #9.5 Saddle: P1D1 or D2 $120/roper Enter 2X 5.5 Cap 3-Steer Saddles to 1st. #7.5 2-Steer Buckle: P1D2 $120/roper Enter 2X 4.5 Cap Buckles 1st-4th. Cash or credit card 5% fee no checks. Global numbers. Flag-on heels. Points to 20 in each roping. If over 1000 teams may run short go Sunday morning no draw outs. Entries close 9:30 AM for truck roping. Stalls at lindenvalleyarena.com.,ropingco.com,480-540-8405,,657549848_1500711075186071_3577391412755600103_n.jpg,2026-03-30,YES
The Beast 2026 Truck Roping - Saturday,06/13/2026,06/13/2026,"Books Close 8:45 AM, Rope 9:00 AM",Linden Valley Arena,1120 Pearce Rd,Show Low,AZ,,Team Roping,Jackpot,New RAM 3500 to High Point Roper,#10.5 Muley Roping: Pick $100/roper Enter 2X 7 Cap 3-Steer Muleys roped. #11.5 Beast Truck Roping: P1D1 or D2 $200/roper Enter 4X 7 Cap 4-Steer Handicapped New RAM 3500 to High Point Roper. Cash or credit card 5% fee no checks. Global numbers. Flag-on heels. Truck recipients responsible for TT&L. Stalls at lindenvalleyarena.com.,ropingco.com,480-540-8405,,657549848_1500711075186071_3577391412755600103_n.jpg,2026-03-30,YES
Cactus Ropes Season Opener - Linden Valley Arena,05/09/2026,05/09/2026,Books Close 9:00 AM on 1st Roping,Linden Valley Arena,1120 Pearce Rd,Show Low,AZ,,Team Roping,Jackpot,"$2,000 Guaranteed + Saddles + Cactus Ropes",#12.5 Slide: 4.5 Sec +/- Max 4-Steer H'capped No Cap P1D1 or D2 Enter 2X $120/roper 70% Payback Cactus Ropes to 1st in Avg. #11.5 $2K Guaranteed: 3-Steer H'capped #6.5 Cap P1D1 or D2 Enter 3X $120/roper $2000 guaranteed to 1st in Avg Cactus Ropes to 1st in Avg. #10.5 Legends 40+: 3-Steer H'capped #6.5 Cap P1D1 or D2 Enter 2X $120/roper Women any age. #9.5 Saddle Roping: 3-Steer H'capped #5.5 Cap P1D1 or D2 Enter 3X $120/roper Saddles+Cash to 1st Cactus Ropes+Cash to 2nd-5th. Credit card 5% fee. WSTR or USTR numbers. Flag-on heels. High point top 15 in avg. 2/3 cash and prize payback.,ropingco.com,480-540-8405,,661407175_1500707481853097_4229648414776034303_n.jpg,2026-03-30,YES
